id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
24752561,Liberty House,35.60305,-82.55301,28801,Asheville,Apartment,Entire home/apt,2,1.0,175.0,2018-04-30,t,1,30,10,100.0,f,flexible
24766296,"Green Acres Groove w/ HOT TUB,  8 Miles to ASHV",35.469359999999995,-82.49883,28704,Arden,House,Entire home/apt,3,2.0,195.0,2016-04-01,f,6,1,48,95.0,f,strict_14_with_grace_period
24797144,Sweet Suite in Asheville Y'all!,35.49185,-82.53038000000001,28803,Asheville,House,Entire home/apt,1,1.0,50.0,2018-05-02,t,2,1,174,99.0,t,moderate
24817711,The Asheville F R O G,35.622820000000004,-82.55689,28804,Asheville,Guest suite,Entire home/apt,1,1.0,100.0,2015-01-19,t,1,1,158,100.0,f,moderate
24828874,Mountain Air & Massage—Peace Room,35.53434,-82.51465,28803,Asheville,House,Private room,1,1.0,87.0,2018-05-03,t,1,2,15,99.0,t,moderate
24834700,"Woodland Retreat w/HOT TUB & DECKS, 2 mi",35.61738,-82.52434000000001,28805,Asheville,House,Entire home/apt,4,3.0,249.0,2018-05-03,t,8,2,86,98.0,t,strict_14_with_grace_period
24852463,"Explore Breweries, Trails, & Galleries from West Asheville",35.57356,-82.62499,28806,Asheville,House,Private room,1,1.0,100.0,2011-05-03,t,2,2,77,99.0,t,moderate
24872184,Beaver lake lodges 301,35.63749,-82.57636,28804,Woodfin,Apartment,Entire home/apt,1,1.0,95.0,2018-03-19,f,1,2,21,99.0,f,strict_14_with_grace_period
24873765,Heaven in Haw Creek,35.59819,-82.50456,28805,Asheville,House,Private room,1,1.0,99.0,2018-05-05,t,1,1,5,100.0,t,flexible
24882481,W AVL Artist's Mountain Living  5mns  to downtown,35.59032,-82.61638,28806,Asheville,House,Entire home/apt,3,2.0,120.0,2016-05-16,t,4,28,5,100.0,f,strict_14_with_grace_period
24885757,EastWest Asheville with Private Entrance,35.58325,-82.57700000000001,28806,Asheville,House,Private room,1,1.0,55.0,2014-01-02,t,1,1,54,97.0,t,flexible
24893602,Sunny loft in new contemporary home near downtown.,35.60675,-82.55805,28801,Asheville,House,Private room,1,1.5,62.0,2014-12-18,t,1,2,45,99.0,t,strict_14_with_grace_period
24894370,Laura's Landing,35.58978,-82.54795,28801,Asheville,House,Private room,1,1.0,89.0,2016-05-22,t,2,1,106,100.0,t,moderate
24895256,#3 Dogwood Room - Oakland Cottage B&B,35.57563,-82.55789,28801,Asheville,Bed and breakfast,Private room,1,1.0,167.0,2012-10-02,t,2,1,1,100.0,f,strict_14_with_grace_period
