id,latitude,longitude,neighbourhood_cleansed,city,zipcode,property_type,room_type,accommodates,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
14603190,35.57248,-82.60621,28806,Asheville,28806.0,Cottage,Entire home/apt,3,1,1.0,100.0,2016-06-11,f,2,2,71,100.0,f,flexible
14632829,35.58016,-82.59424,28806,Asheville,28806.0,House,Private room,2,1,1.0,48.0,2015-04-18,t,2,1,97,98.0,f,moderate
14649826,35.5797,-82.5729,28806,Asheville,28806.0,Guest suite,Entire home/apt,2,1,1.0,125.0,2012-11-30,t,2,2,236,97.0,t,strict_14_with_grace_period
14652591,35.58388,-82.49855,28805,Asheville,28805.0,Apartment,Entire home/apt,2,1,1.0,72.0,2015-10-15,t,1,2,102,98.0,t,moderate
14715823,35.58338,-82.51516,28805,Asheville,28805.0,House,Private room,4,1,1.0,56.0,2015-04-18,t,2,1,165,99.0,f,flexible
14731119,35.64917,-82.58483000000001,28804,Asheville,28804.0,Guest suite,Entire home/apt,2,1,1.0,80.0,2015-06-12,t,2,1,114,99.0,t,moderate
14731928,35.6129,-82.52441,28805,Asheville,28805.0,House,Private room,2,1,1.5,49.0,2012-03-23,t,2,1,232,97.0,f,strict_14_with_grace_period
14738243,35.605509999999995,-82.54843000000001,28801,Asheville,28801.0,Bungalow,Private room,2,1,1.0,42.0,2016-04-04,t,1,1,196,98.0,f,moderate
14751215,35.54546,-82.47811999999999,28803,Asheville,28803.0,House,Entire home/apt,6,2,1.0,160.0,2013-12-18,t,4,1,228,99.0,t,flexible
14757919,35.59793,-82.5669,28801,Asheville,28801.0,Guest suite,Entire home/apt,2,1,1.0,130.0,2014-03-18,t,1,2,142,99.0,t,moderate
14805266,35.58983,-82.56461999999999,28801,Asheville,28801.0,Apartment,Entire home/apt,3,1,1.0,165.0,2016-03-28,t,2,6,191,100.0,t,moderate
14816025,35.50812,-82.61224,28806,Asheville,28806.0,Tiny house,Entire home/apt,3,1,1.0,90.0,2016-03-02,t,2,2,176,98.0,f,moderate
14824135,35.50347,-82.60639,28806,Asheville,28806.0,House,Private room,2,1,1.0,48.0,2016-08-30,f,1,1,71,97.0,t,moderate
14832058,35.56475,-82.68028000000001,28715,Candler,28715.0,House,Entire home/apt,8,3,2.0,195.0,2016-08-31,t,8,2,30,99.0,t,moderate
14857013,35.57646,-82.59235,28806,Asheville,28806.0,Apartment,Entire home/apt,3,1,1.0,106.0,2016-09-01,t,2,2,184,99.0,t,strict_14_with_grace_period
14899945,35.53991,-82.46876999999999,28803,Asheville,28803.0,House,Private room,2,1,1.0,95.0,2015-05-08,f,1,1,22,100.0,f,moderate
14900960,35.515640000000005,-82.64901,28715,Candler,28715.0,Cabin,Entire home/apt,6,3,1.5,220.0,2016-06-14,t,6,2,109,98.0,f,strict_14_with_grace_period
14934441,35.55325,-82.51205,28803,Asheville,28803.0,House,Entire home/apt,10,3,2.0,130.0,2014-09-04,t,6,2,256,97.0,t,flexible
14941161,35.60776,-82.55041,28801,Asheville,28801.0,Apartment,Entire home/apt,4,2,1.0,75.0,2015-11-06,t,2,2,138,97.0,f,strict_14_with_grace_period
14963589,35.54537,-82.50979,28803,Asheville,28803.0,Guesthouse,Entire home/apt,2,1,1.0,80.0,2015-10-21,t,2,2,199,99.0,f,moderate
14976451,35.605290000000004,-82.55704,28801,Asheville,28801.0,House,Private room,3,1,1.0,85.0,2012-09-25,t,2,1,38,99.0,f,moderate
15009504,35.60203,-82.55476,28801,Asheville,28801.0,Apartment,Entire home/apt,4,2,1.0,149.0,2016-09-11,t,3,2,240,98.0,t,moderate
15009920,35.605779999999996,-82.55695,28801,Asheville,28801.0,House,Entire home/apt,4,2,2.0,85.0,2016-06-09,f,1,30,9,100.0,t,strict_14_with_grace_period
15016101,35.645720000000004,-82.58659,28804,Asheville,28804.0,Apartment,Entire home/apt,4,1,1.0,150.0,2015-01-11,t,1,2,70,99.0,f,strict_14_with_grace_period
15055380,35.579159999999995,-82.59718000000001,28806,Asheville,28806.0,Apartment,Entire home/apt,6,2,1.0,45.0,2016-09-14,t,4,30,163,94.0,f,moderate
15091721,35.59409,-82.55799,28801,Asheville,28801.0,Apartment,Entire home/apt,2,1,1.0,105.0,2015-10-07,f,1,1,229,92.0,t,strict_14_with_grace_period
15091813,35.60219,-82.56044,28801,Asheville,28801.0,Guesthouse,Entire home/apt,2,1,1.0,120.0,2016-09-17,t,2,2,152,100.0,t,moderate
15124397,35.5748,-82.53457,28803,Asheville,28803.0,Apartment,Entire home/apt,2,1,1.0,90.0,2014-05-15,t,1,2,271,100.0,f,moderate
15158878,35.48594,-82.51476,28803,Asheville,28803.0,Guesthouse,Entire home/apt,3,1,1.0,131.0,2016-09-21,t,2,2,198,98.0,t,moderate
15174633,35.593090000000004,-82.557,28801,Asheville,28801.0,Other,Private room,2,1,1.0,150.0,2016-09-22,f,2,1,46,87.0,t,flexible
15192947,35.581540000000004,-82.57757,28806,Asheville,28806.0,Apartment,Entire home/apt,2,1,1.0,199.0,2014-09-06,t,2,2,132,98.0,t,moderate
15194828,35.58913,-82.47041999999999,28805,Asheville,28805.0,House,Private room,3,1,1.0,60.0,2016-05-18,t,2,1,123,97.0,f,moderate
15229458,35.637809999999995,-82.65143,28806,Asheville,28806.0,House,Private room,2,1,1.0,89.0,2013-10-12,t,1,2,5,96.0,f,strict_14_with_grace_period
15230720,35.60651,-82.55889,28801,Asheville,28801.0,House,Private room,3,1,1.0,58.0,2016-09-26,t,2,1,214,99.0,t,moderate
15231248,35.572790000000005,-82.59791,28806,Asheville,28806.0,Guest suite,Entire home/apt,4,1,1.0,89.0,2014-05-19,t,2,1,165,98.0,f,moderate
15248786,35.555890000000005,-82.47648000000001,28803,Asheville,28803.0,House,Private room,2,1,1.0,85.0,2016-05-30,t,2,1,58,99.0,t,flexible
15268297,35.58547,-82.54916,28801,Asheville,28801.0,House,Private room,2,1,1.0,67.0,2015-08-31,t,1,2,96,96.0,t,moderate
